Month/Year,License Class,          Trips Per Day          ,          Farebox Per Day          ,           Unique Drivers           ,           Unique Vehicles           ,           Vehicles Per Day           ,         Avg Days Vehicles on Road         ,         Avg Hours Per Day Per Vehicle         ,         Avg Days Drivers on Road         ,         Avg Hours Per Day Per Driver         ,         Avg Minutes Per Trip         ,Percent of Trips Paid with Credit Card,Trips Per Day Shared
2021-10,FHV - High Volume," 533,613 ",         -         ," 68,926 "," 66,933 "," 44,406 ", 20.60 , 6.60 , 20.30 , 6.50 , 19.00 ,-,277
2021-10,Yellow," 111,638 "," 1,993,228 "," 9,154 "," 6,600 "," 5,555 ", 26.10 , 9.50 , 21.70 , 8.20 , 15.10 ,79%,-
2021-10,Green," 3,574 "," 82,093 "," 1,311 "," 1,251 ", 736 , 18.30 , 3.90 , 17.60 , 3.80 , 21.00 ,73%,-
2021-09,FHV - Livery," 24,869 ",         -         ," 5,494 "," 5,343 "," 3,301 ", 18.50 , 5.00 , 18.40 , 4.90 , 20.00 ,-,-
2021-09,FHV - Lux Limo," 1,025 ",         -         ," 1,362 "," 1,291 ", 482 , 11.20 , 2.10 , 10.90 , 2.00 , 72.00 ,-,-
2021-09,FHV - Black Car," 11,332 ",         -         ," 4,848 "," 4,739 "," 2,069 ", 13.10 , 4.10 , 12.90 , 4.10 , 28.00 ,-,-
2021-09,FHV - High Volume," 423,584 ",          -          ," 64,747 "," 63,416 "," 34,903 ", 16.50 , 6.50 , 16.40 , 6.50 , 19.00 ,-,716
2021-09,Green," 3,190 "," 77,261 "," 1,214 "," 1,171 ", 639 , 16.40 , 4.00 , 16.00 , 3.90 , 21.50 ,74%,-
2021-09,Yellow," 98,724 "," 1,826,391 "," 8,502 "," 6,218 "," 5,069 ", 24.50 , 9.00 , 19.90 , 8.10 , 15.20 ,78%,-
2021-08,FHV - Livery," 24,503 ",          -          ," 4,756 "," 4,654 "," 2,941 ", 19.60 , 5.20 , 19.50 , 5.10 , 19.00 ,-,-
2021-08,FHV - Lux Limo, 665 ,          -          , 998 , 955 , 337 , 11.00 , 2.00 , 10.70 , 1.90 , 72.00 ,-,-
2021-08,FHV - Black Car," 9,744 ",          -          ," 3,749 "," 3,704 "," 1,614 ", 13.50 , 4.40 , 13.50 , 4.40 , 26.00 ,-,-
2021-08,Yellow," 89,901 "," 1,611,851 "," 7,471 "," 5,888 "," 4,700 ", 24.70 , 8.80 , 21.10 , 8.20 , 13.90 ,77%,-
2021-08,Green," 2,693 "," 63,670 ", 944 , 926 , 509 , 17.10 , 4.10 , 16.90 , 4.10 , 20.00 ,75%,-
2021-08,FHV - High Volume," 467,608 ",          -          ," 59,813 "," 58,750 "," 35,253 ", 18.60 , 6.70 , 18.50 , 6.70 , 18.00 ,-,723
2021-07,FHV - High Volume," 484,692 ",          -          ," 59,730 "," 58,604 "," 36,032 ", 19.10 , 6.80 , 18.90 , 6.70 , 18.00 ,-,635
2021-07,FHV - Black Car," 10,249 ",          -          ," 4,207 "," 4,182 "," 1,800 ", 13.30 , 4.30 , 13.40 , 4.20 , 26.00 ,-,-
2021-07,FHV - Livery," 24,991 ",          -          ," 4,895 "," 4,804 "," 3,051 ", 19.70 , 5.20 , 19.60 , 5.20 , 19.00 ,-,-
2021-07,FHV - Lux Limo, 700 ,          -          ," 1,159 "," 1,137 ", 362 , 9.90 , 1.90 , 9.80 , 1.90 , 71.00 ,-,-
2021-07,Green," 2,698 "," 63,047 ", 983 , 950 , 508 , 16.60 , 4.10 , 16.20 , 4.10 , 20.10 ,75%,-
2021-07,Yellow," 91,011 "," 1,605,062 "," 7,350 "," 5,782 "," 4,631 ", 24.80 , 8.90 , 21.10 , 8.30 , 13.90 ,77%,-
2021-06,FHV - Black Car," 14,136 ",          -          ," 4,658 "," 4,643 "," 2,281 ", 14.70 , 4.50 , 14.80 , 4.50 , 25.00 ,-,-
2021-06,FHV - High Volume," 498,641 ",          -          ," 58,797 "," 57,856 "," 36,922 ", 19.10 , 6.90 , 19.00 , 6.90 , 19.00 ,-,124
2021-06,FHV - Livery," 29,280 ",          -          ," 5,970 "," 5,852 "," 3,695 ", 18.90 , 5.00 , 18.80 , 5.00 , 19.00 ,-,-
2021-06,FHV - Lux Limo, 928 ,          -          ," 1,184 "," 1,152 ", 437 , 11.40 , 2.10 , 11.30 , 2.10 , 71.00 ,-,-
2021-06,Green," 2,891 "," 65,833 "," 1,002 ", 976 , 531 , 16.30 , 4.20 , 16.10 , 4.20 , 20.50 ,75%,-
2021-06,Yellow," 94,130 "," 1,607,814 "," 7,084 "," 5,636 "," 4,570 ", 24.30 , 9.10 , 20.80 , 8.40 , 14.10 ,78%,-
2021-05,FHV - Black Car," 13,022 ",          -          ," 4,294 "," 4,278 "," 2,070 ", 15.00 , 4.60 , 15.00 , 4.60 , 24.00 ,-,-
2021-05,FHV - High Volume," 474,753 ",          -          ," 56,869 "," 56,102 "," 34,401 ", 19.00 , 6.90 , 18.90 , 6.90 , 18.00 ,-,-
2021-05,FHV - Livery," 27,753 ",          -          ," 5,296 "," 5,202 "," 3,328 ", 19.80 , 5.20 , 19.80 , 5.20 , 18.00 ,-,-
2021-05,FHV - Lux Limo, 727 ,          -          , 956 , 900 , 339 , 11.70 , 2.10 , 11.20 , 2.10 , 66.00 ,-,-
2021-05,Green," 2,843 "," 65,575 ", 979 , 951 , 517 , 16.90 , 4.30 , 16.50 , 4.20 , 20.00 ,78%,-
2021-05,Yellow," 80,499 "," 1,340,447 "," 6,579 "," 5,228 "," 4,105 ", 24.30 , 8.70 , 20.60 , 8.20 , 13.40 ,78%,-
2021-04,FHV - Black Car," 12,658 ",          -          ," 4,229 "," 4,224 "," 2,098 ", 14.90 , 4.50 , 15.00 , 4.50 , 24.00 ,-,-
2021-04,FHV - High Volume," 470,299 ",          -          ," 54,481 "," 53,741 "," 33,356 ", 18.60 , 7.00 , 18.50 , 6.90 , 17.00 ,-,-
2021-04,FHV - Livery," 26,758 ",          -          ," 5,122 "," 5,010 "," 3,222 ", 19.30 , 5.30 , 19.20 , 5.20 , 18.00 ,-,-
2021-04,FHV - Lux Limo, 708 ,          -          , 915 , 872 , 342 , 11.80 , 2.00 , 11.50 , 2.00 , 59.00 ,-,-
2021-04,Green," 2,896 "," 67,873 ", 953 , 927 , 515 , 16.70 , 4.40 , 16.40 , 4.30 , 20.10 ,78%,-
2021-04,Yellow," 71,982 "," 1,182,789 "," 6,103 "," 4,924 "," 3,889 ", 23.70 , 8.60 , 20.20 , 8.10 , 13.00 ,77%,-
2021-03,FHV - Black Car," 13,000 ",          -          ," 4,003 "," 3,995 "," 2,049 ", 15.90 , 4.60 , 16.00 , 4.60 , 23.00 ,-,-
2021-03,FHV - High Volume," 458,777 ",          -          ," 52,117 "," 51,751 "," 31,630 ", 18.90 , 7.10 , 19.00 , 7.00 , 17.00 ,-,-
2021-03,FHV - Livery," 28,654 ",          -          ," 5,295 "," 5,195 "," 3,381 ", 20.20 , 5.40 , 20.10 , 5.30 , 17.00 ,-,-
2021-03,FHV - Lux Limo, 629 ,          -          , 812 , 791 , 302 , 11.90 , 2.00 , 11.80 , 2.00 , 56.00 ,-,-
2021-03,Green," 2,703 "," 62,408 ", 951 , 931 , 482 , 16.10 , 4.40 , 15.90 , 4.40 , 18.90 ,79%,-
2021-03,Yellow," 61,643 "," 979,149 "," 5,764 "," 4,718 "," 3,652 ", 24.00 , 8.30 , 20.60 , 7.90 , 12.30 ,76%,-
2021-02,FHV - Black Car," 10,716 ",          -          ," 3,563 "," 3,561 "," 1,725 ", 13.60 , 4.60 , 13.60 , 4.60 , 23.00 ,-,-
2021-02,FHV - High Volume," 414,755 ",           -           ," 47,206 "," 47,267 "," 28,637 ", 17.00 , 7.10 , 17.10 , 7.10 , 16.00 ,-,-
2021-02,FHV - Livery," 24,316 ",           -           ," 4,872 "," 4,786 "," 2,930 ", 17.10 , 5.30 , 17.10 , 5.20 , 17.00 ,-,-
